id,price
1190546,25.52
1190550,25.6
1190552,25.52
1190555,25.53
1190561,25.52
1190564,25.54
1190565,25.56
1190567,25.57
1190568,25.56
1190569,25.55
1190573,25.56
1190574,25.57
1190580,25.55
1190582,25.56
1190584,25.57
1190586,25.56
1190587,25.57
1190591,25.58
1190592,25.57
1190593,25.58
1190596,25.57
1190597,25.58
1190606,25.59
1190612,25.6
1190613,25.59
1190621,25.57
1190624,25.56
1190626,25.55
1190634,25.54
1190639,25.52
1190648,25.49
1190664,25.5
1190667,25.49
1190671,25.5
1190677,25.51
1190680,25.5
1190681,25.51
1190684,25.5
1190685,25.51
1190688,25.5
1190690,25.51
1190691,25.5
1190698,25.51
1190704,25.52
1190707,25.53
1190711,25.51
1190712,25.5
1190715,25.51
1190716,25.5
1190723,25.51
1190727,25.5
1190728,25.51
1190729,25.5
1190734,25.51
1190735,25.5
1190739,25.51
1190742,25.5
1190760,25.53
1190762,25.52
1190763,25.5
1190767,25.53
1190769,25.51
1190771,25.5
1190772,25.51
1190777,25.52
1190778,25.53
1190780,25.51
1190782,25.53
1190787,25.54
1190788,25.53
1190791,25.54
